size_sq_meters,bedrooms,bathrooms,price,property_type,district,amenities,price_per_sqm,amenity_count
50.5,3,2,3036.38,Apartment,Dublin 3,None,60.13,0
37.8,4,2,3170.55,House,Dublin 8,Gym;Pool,83.88,2
143.9,2,1,3322.45,Studio,Dublin 1,None,23.09,0
145.9,4,2,1498.27,House,Dublin 2,Gym;Parking,10.27,2
127.0,2,1,2394.9,House,Dublin 4,Parking;Garden,18.86,2
66.6,1,1,3392.22,Apartment,Dublin 8,Parking;Garden,50.93,2
41.7,2,2,4873.24,Studio,Dublin 8,Gym;Pool,116.86,2
112.1,3,1,3856.05,House,Dublin 3,Gym;Pool,34.4,2
82.8,3,2,4674.94,Apartment,Dublin 1,None,56.46,0
44.6,2,1,4001.29,House,Dublin 6,None,89.72,0
89.4,2,2,3285.21,Apartment,Dublin 8,Gym;Pool,36.75,2
34.1,2,1,1606.5,Apartment,Dublin 2,Gym;Parking,47.11,2
139.1,4,1,3600.08,House,Dublin 3,None,25.88,0
61.1,2,2,3418.19,Studio,Dublin 8,Parking;Garden,55.94,2
109.5,1,2,3330.37,Studio,Dublin 8,Parking;Garden,30.41,2
67.4,4,1,2857.1,Apartment,Dublin 3,Gym;Parking,42.39,2
92.4,4,1,3020.36,Studio,Dublin 3,Gym;Pool,32.69,2
95.6,2,2,2204.66,Apartment,Dublin 4,None,23.06,0
52.2,1,1,2981.11,Studio,Dublin 8,Parking;Garden,57.11,2
146.4,4,2,1629.73,House,Dublin 6,Gym;Pool,11.13,2
123.0,3,1,4181.73,Studio,Dublin 2,None,34.0,0
142.7,4,2,1580.26,Apartment,Dublin 1,Gym;Parking,11.07,2
137.4,2,1,1156.86,Apartment,Dublin 1,Parking;Garden,8.42,2
101.7,1,2,2632.23,Studio,Dublin 6,Gym;Parking,25.88,2
140.6,2,2,3564.89,House,Dublin 3,Gym;Parking,25.35,2
40.6,3,1,2638.41,Apartment,Dublin 3,Gym;Parking,64.99,2
53.5,3,2,1962.37,Apartment,Dublin 3,None,36.68,0
35.4,3,1,3144.32,Apartment,Dublin 8,Gym;Parking,88.82,2
69.0,2,2,2257.41,Apartment,Dublin 3,None,32.72,0
76.6,4,2,4718.04,Apartment,Dublin 3,None,61.59,0
62.6,2,2,4675.11,House,Dublin 8,Gym;Parking,74.68,2
129.4,1,1,2909.96,Studio,Dublin 8,Gym;Parking,22.49,2
72.8,4,2,2177.11,House,Dublin 6,Gym;Pool,29.91,2
63.7,3,1,3895.96,House,Dublin 4,Parking;Garden,61.16,2
95.1,2,2,954.19,Apartment,Dublin 8,Gym;Pool,10.03,2
46.9,3,1,2794.03,House,Dublin 2,Parking;Garden,59.57,2
126.3,3,1,2212.56,Apartment,Dublin 3,Parking;Garden,17.52,2
38.9,1,1,4666.25,House,Dublin 4,Gym;Pool,119.96,2
148.4,4,2,850.41,Apartment,Dublin 1,Gym;Pool,5.73,2
122.7,1,1,3121.82,Apartment,Dublin 6,Parking;Garden,25.44,2
53.8,1,2,3910.79,House,Dublin 4,Parking;Garden,72.69,2
30.7,1,1,2837.08,House,Dublin 8,Parking;Garden,92.41,2
127.9,3,1,1158.69,Studio,Dublin 3,None,9.06,0
114.8,1,1,4884.34,Studio,Dublin 3,Parking;Garden,42.55,2
117.5,1,1,2975.64,Studio,Dublin 3,Gym;Parking,25.32,2
122.6,4,2,3379.58,House,Dublin 4,Gym;Parking,27.57,2
38.9,4,1,1793.76,House,Dublin 3,Gym;Parking,46.11,2
73.0,1,1,2830.69,Apartment,Dublin 8,Gym;Pool,38.78,2
43.9,4,2,2602.43,Studio,Dublin 4,Gym;Pool,59.28,2
133.6,4,1,1114.56,Apartment,Dublin 3,Gym;Pool,8.34,2
104.8,1,1,1245.87,Apartment,Dublin 1,Parking;Garden,11.89,2
69.7,3,1,4317.38,Apartment,Dublin 1,Gym;Parking,61.94,2
37.6,1,1,1807.24,Apartment,Dublin 2,Parking;Garden,48.06,2
67.3,4,2,1618.82,Studio,Dublin 3,None,24.05,0
69.0,3,2,2920.63,Apartment,Dublin 3,None,42.33,0
117.6,2,1,4028.74,House,Dublin 4,Gym;Pool,34.26,2
106.5,3,2,1060.18,House,Dublin 4,None,9.95,0
136.5,4,2,3222.59,House,Dublin 3,Gym;Parking,23.61,2
86.7,3,1,1300.68,Studio,Dublin 2,None,15.0,0
44.4,1,2,953.14,Apartment,Dublin 3,Gym;Pool,21.47,2
115.6,2,1,1021.52,Studio,Dublin 8,Parking;Garden,8.84,2
121.3,2,2,4303.49,Apartment,Dublin 4,None,35.48,0
97.4,2,2,1295.48,Studio,Dublin 3,Gym;Parking,13.3,2
122.5,4,2,989.64,Studio,Dublin 4,Gym;Parking,8.08,2
89.3,4,1,2639.18,Apartment,Dublin 3,Gym;Parking,29.55,2
92.7,2,2,4344.77,Studio,Dublin 6,Parking;Garden,46.87,2
81.3,3,1,1902.12,Apartment,Dublin 4,Gym;Parking,23.4,2
33.1,2,1,2571.19,House,Dublin 2,Gym;Pool,77.68,2
42.9,3,2,967.67,House,Dublin 6,Gym;Pool,22.56,2
33.8,3,1,2686.13,House,Dublin 8,Gym;Parking,79.47,2
106.4,4,2,3225.97,Studio,Dublin 3,None,30.32,0
67.7,3,1,3197.81,House,Dublin 8,Gym;Parking,47.24,2
91.0,2,1,2196.19,Apartment,Dublin 4,Gym;Pool,24.13,2
138.9,4,2,2125.24,House,Dublin 6,Gym;Pool,15.3,2
59.9,1,2,1247.82,House,Dublin 8,Gym;Pool,20.83,2
79.2,1,2,2340.55,Studio,Dublin 2,None,29.55,0
120.7,4,2,1217.88,Apartment,Dublin 4,None,10.09,0
57.5,2,1,4019.7,Studio,Dublin 6,None,69.91,0
39.2,1,1,4858.35,Studio,Dublin 8,Gym;Pool,123.94,2
64.8,1,1,4874.31,Apartment,Dublin 6,Parking;Garden,75.22,2
49.3,3,2,4433.3,Studio,Dublin 6,Gym;Parking,89.92,2
141.6,3,1,3323.33,Apartment,Dublin 8,Gym;Parking,23.47,2
127.0,2,2,3743.64,House,Dublin 1,Gym;Pool,29.48,2
106.0,4,1,1997.86,Apartment,Dublin 3,None,18.85,0
134.6,2,2,3449.24,Apartment,Dublin 4,Parking;Garden,25.63,2
126.4,4,1,2713.73,Apartment,Dublin 4,Parking;Garden,21.47,2
52.4,1,1,2824.47,Studio,Dublin 4,None,53.9,0
137.1,3,2,3982.66,Apartment,Dublin 6,Gym;Parking,29.05,2
94.7,2,1,1984.06,Apartment,Dublin 8,Gym;Parking,20.95,2
126.9,2,2,2135.77,Apartment,Dublin 3,Parking;Garden,16.83,2
137.5,4,1,4683.5,House,Dublin 2,Parking;Garden,34.06,2
68.2,4,1,1036.14,Apartment,Dublin 4,None,15.19,0
43.2,2,2,2839.66,Studio,Dublin 8,Gym;Parking,65.73,2
57.4,4,2,4633.76,Apartment,Dublin 3,Parking;Garden,80.73,2
81.3,2,1,3363.52,Apartment,Dublin 3,Gym;Parking,41.37,2
128.2,2,1,3094.91,House,Dublin 1,Parking;Garden,24.14,2
133.3,2,1,1848.93,Apartment,Dublin 8,None,13.87,0
30.8,1,1,2241.76,Studio,Dublin 4,Gym;Parking,72.78,2
91.3,4,1,4378.6,Apartment,Dublin 6,Parking;Garden,47.96,2
80.1,3,1,3148.72,Studio,Dublin 3,Parking;Garden,39.31,2
56.7,3,2,2961.92,House,Dublin 3,Parking;Garden,52.24,2
44.4,4,2,1218.23,Apartment,Dublin 2,Parking;Garden,27.44,2
70.5,2,2,867.32,House,Dublin 1,None,12.3,0
143.1,3,1,4847.48,Apartment,Dublin 3,Gym;Parking,33.87,2
68.8,3,1,2383.34,Studio,Dublin 3,Gym;Parking,34.64,2
92.3,4,1,3333.49,House,Dublin 6,Gym;Pool,36.12,2
114.4,3,2,1134.8,Apartment,Dublin 6,Gym;Parking,9.92,2
73.6,2,2,3669.08,Studio,Dublin 2,Gym;Pool,49.85,2
146.6,4,1,4716.78,House,Dublin 8,Parking;Garden,32.17,2
145.5,2,1,3217.79,Apartment,Dublin 2,None,22.12,0
60.2,3,2,1329.68,House,Dublin 2,None,22.09,0
89.7,3,2,3243.23,Apartment,Dublin 6,Parking;Garden,36.16,2
66.1,2,2,4018.66,Studio,Dublin 8,Gym;Pool,60.8,2
64.2,1,1,2506.95,Studio,Dublin 6,Parking;Garden,39.05,2
34.4,3,1,4495.32,House,Dublin 1,None,130.68,0
103.1,1,1,3524.47,House,Dublin 4,None,34.18,0
90.3,3,2,4576.85,Apartment,Dublin 4,Gym;Parking,50.68,2
36.2,1,2,3418.72,Studio,Dublin 1,Gym;Pool,94.44,2
63.4,1,1,1351.41,Apartment,Dublin 4,Gym;Parking,21.32,2
139.0,1,1,2100.71,Studio,Dublin 8,None,15.11,0
58.7,2,2,1647.54,House,Dublin 6,None,28.07,0
47.4,1,1,4617.07,Apartment,Dublin 4,Gym;Parking,97.41,2
88.7,1,2,3993.68,Apartment,Dublin 8,Gym;Parking,45.02,2
148.3,1,2,3640.87,Studio,Dublin 6,None,24.55,0
59.0,3,1,2064.06,Studio,Dublin 8,Gym;Parking,34.98,2
110.7,1,2,1572.99,Studio,Dublin 1,Gym;Parking,14.21,2
121.4,3,1,3977.09,House,Dublin 2,Gym;Pool,32.76,2
58.5,1,2,2791.46,Apartment,Dublin 1,None,47.72,0
117.4,1,2,1748.32,Studio,Dublin 4,Parking;Garden,14.89,2
74.1,2,1,3389.81,House,Dublin 6,Gym;Pool,45.75,2
105.9,3,2,969.4,Studio,Dublin 8,Parking;Garden,9.15,2
106.0,1,1,2169.92,Apartment,Dublin 4,Gym;Parking,20.47,2
94.3,3,1,2767.94,Studio,Dublin 4,Gym;Parking,29.35,2
40.8,3,2,1421.43,Apartment,Dublin 2,Parking;Garden,34.84,2
130.2,4,1,4935.55,House,Dublin 4,Gym;Parking,37.91,2
68.5,2,1,1678.21,House,Dublin 2,Gym;Parking,24.5,2
52.4,2,1,1347.48,Studio,Dublin 6,Gym;Pool,25.72,2
34.9,2,1,1654.85,Apartment,Dublin 6,Parking;Garden,47.42,2
100.9,4,1,4030.06,Apartment,Dublin 8,Gym;Pool,39.94,2
111.3,4,1,2587.12,Apartment,Dublin 2,Parking;Garden,23.24,2
32.0,2,2,3174.75,Studio,Dublin 1,Gym;Pool,99.21,2
91.5,4,1,888.24,Apartment,Dublin 6,None,9.71,0
57.2,4,2,944.61,Apartment,Dublin 8,None,16.51,0
107.4,4,2,2672.47,Apartment,Dublin 1,Parking;Garden,24.88,2
50.9,2,1,4229.95,Apartment,Dublin 6,None,83.1,0
112.9,2,2,4518.0,Studio,Dublin 6,Gym;Pool,40.02,2
76.4,2,2,1164.17,Studio,Dublin 8,Parking;Garden,15.24,2
142.4,4,1,3061.13,Apartment,Dublin 8,None,21.5,0
46.5,2,1,4635.56,Apartment,Dublin 3,None,99.69,0
70.9,4,1,2429.49,House,Dublin 4,Parking;Garden,34.27,2
43.6,1,2,4284.18,House,Dublin 4,None,98.26,0
141.0,4,2,1361.52,Apartment,Dublin 1,None,9.66,0
135.3,3,1,4728.66,Apartment,Dublin 4,Parking;Garden,34.95,2
61.0,2,1,3955.98,House,Dublin 1,None,64.85,0
109.2,2,2,4753.6,House,Dublin 6,None,43.53,0
128.1,3,2,3641.79,Apartment,Dublin 3,None,28.43,0
96.6,4,2,2326.3,Studio,Dublin 3,None,24.08,0
93.6,1,2,4740.36,Studio,Dublin 6,Gym;Parking,50.64,2
59.0,3,1,1957.38,Apartment,Dublin 8,Parking;Garden,33.18,2
41.2,3,2,2195.12,Apartment,Dublin 2,Gym;Parking,53.28,2
137.7,4,2,3743.4,House,Dublin 2,Gym;Parking,27.19,2
138.1,2,2,4014.33,House,Dublin 4,Gym;Pool,29.07,2
106.0,4,2,4703.49,Studio,Dublin 8,Gym;Parking,44.37,2
70.7,3,1,1660.17,Apartment,Dublin 1,Gym;Parking,23.48,2
71.9,3,1,4151.59,House,Dublin 3,Gym;Pool,57.74,2
117.1,2,2,3901.89,Studio,Dublin 4,None,33.32,0
137.7,2,2,1067.94,Studio,Dublin 6,None,7.76,0
136.5,2,1,2426.34,Studio,Dublin 8,Gym;Parking,17.78,2
123.6,4,1,1987.61,House,Dublin 3,Gym;Pool,16.08,2
107.0,2,2,2078.86,House,Dublin 1,None,19.43,0
40.1,3,2,4928.38,Apartment,Dublin 1,Gym;Pool,122.9,2
49.4,3,1,3499.67,Apartment,Dublin 2,Parking;Garden,70.84,2
137.8,1,1,3814.24,Studio,Dublin 4,Parking;Garden,27.68,2
102.8,4,1,4901.79,Studio,Dublin 6,Parking;Garden,47.68,2
31.1,1,1,2384.25,House,Dublin 3,Parking;Garden,76.66,2
42.2,3,1,4167.73,House,Dublin 1,Gym;Parking,98.76,2
109.6,1,1,2625.03,Apartment,Dublin 3,Parking;Garden,23.95,2
30.6,3,2,4452.04,Apartment,Dublin 6,Parking;Garden,145.49,2
49.3,1,1,1558.76,Apartment,Dublin 3,Gym;Pool,31.62,2
95.8,2,1,4780.28,House,Dublin 4,None,49.9,0
113.0,1,1,1718.84,Studio,Dublin 2,Gym;Pool,15.21,2
108.2,2,1,2170.13,Apartment,Dublin 3,Gym;Parking,20.06,2
56.9,2,2,3976.01,Apartment,Dublin 8,Parking;Garden,69.88,2
115.5,4,2,2453.77,House,Dublin 2,None,21.24,0
58.5,2,1,3354.49,Apartment,Dublin 6,None,57.34,0
69.0,2,2,2667.21,Studio,Dublin 2,Parking;Garden,38.66,2
119.6,1,2,3917.95,House,Dublin 3,Parking;Garden,32.76,2
108.0,3,2,1758.99,Apartment,Dublin 3,Gym;Parking,16.29,2
131.9,4,2,1045.52,Apartment,Dublin 8,Gym;Parking,7.93,2
108.9,2,2,2059.7,House,Dublin 1,Parking;Garden,18.91,2
98.2,4,2,2792.1,House,Dublin 8,Parking;Garden,28.43,2
41.2,1,1,1505.68,Apartment,Dublin 3,Parking;Garden,36.55,2
74.1,2,1,2290.15,Studio,Dublin 2,Parking;Garden,30.91,2
61.8,1,1,2479.93,House,Dublin 8,None,40.13,0
59.3,4,1,1041.05,Studio,Dublin 8,Gym;Parking,17.56,2
146.8,1,1,3249.89,Apartment,Dublin 1,Parking;Garden,22.14,2
77.2,4,2,4514.24,Studio,Dublin 3,Parking;Garden,58.47,2
137.0,1,1,1437.32,Apartment,Dublin 3,None,10.49,0
105.7,4,1,3310.79,Apartment,Dublin 6,Gym;Pool,31.32,2
125.4,3,2,3591.9,Apartment,Dublin 1,Parking;Garden,28.64,2
90.3,1,2,2561.21,Apartment,Dublin 6,None,28.36,0
99.2,1,1,3744.61,Studio,Dublin 6,None,37.75,0
89.1,3,2,2525.07,Apartment,Dublin 6,Gym;Pool,28.34,2
53.4,3,2,2919.48,Apartment,Dublin 4,Gym;Parking,54.67,2
116.7,1,2,830.88,Studio,Dublin 6,Gym;Parking,7.12,2
63.7,3,2,3705.22,House,Dublin 8,Gym;Parking,58.17,2
32.9,2,1,3577.64,Studio,Dublin 2,Parking;Garden,108.74,2
107.5,4,2,961.28,Studio,Dublin 8,Gym;Parking,8.94,2
51.3,4,1,2346.65,Studio,Dublin 8,Parking;Garden,45.74,2
142.9,4,1,4911.93,Apartment,Dublin 3,Parking;Garden,34.37,2
144.5,2,2,2567.09,Apartment,Dublin 4,None,17.77,0
139.8,3,2,2908.17,Apartment,Dublin 6,Gym;Parking,20.8,2
74.4,3,2,4621.71,House,Dublin 3,Gym;Parking,62.12,2
31.9,1,1,3812.5,Apartment,Dublin 1,Gym;Parking,119.51,2
141.4,3,2,3244.69,House,Dublin 1,Parking;Garden,22.95,2
81.4,1,2,4150.78,Apartment,Dublin 3,Parking;Garden,50.99,2
146.0,2,2,4430.34,Studio,Dublin 2,Gym;Parking,30.34,2
145.6,4,2,2718.93,Apartment,Dublin 3,Parking;Garden,18.67,2
132.4,4,2,2795.46,House,Dublin 3,Parking;Garden,21.11,2
65.3,4,1,2421.41,House,Dublin 4,Gym;Pool,37.08,2
76.2,3,2,4860.17,Apartment,Dublin 1,Gym;Pool,63.78,2
132.1,1,2,3728.1,Studio,Dublin 1,Gym;Parking,28.22,2
68.0,1,2,1149.54,Apartment,Dublin 6,Gym;Parking,16.9,2
50.3,2,1,4424.43,Apartment,Dublin 8,Gym;Pool,87.96,2
96.8,3,2,2818.35,Apartment,Dublin 3,Parking;Garden,29.12,2
142.3,2,1,1088.77,Studio,Dublin 3,Parking;Garden,7.65,2
113.5,1,1,3108.81,House,Dublin 2,None,27.39,0
98.4,1,2,2552.09,Studio,Dublin 1,Gym;Parking,25.94,2
41.7,4,2,4486.55,House,Dublin 2,Gym;Parking,107.59,2
103.8,3,2,1656.78,House,Dublin 4,Gym;Parking,15.96,2
148.8,1,1,4271.15,House,Dublin 6,None,28.7,0
46.8,4,1,3142.29,Studio,Dublin 2,None,67.14,0
92.2,3,1,1029.36,Apartment,Dublin 1,Parking;Garden,11.16,2
135.3,2,1,4881.75,Apartment,Dublin 4,Gym;Pool,36.08,2
118.9,3,1,2952.98,Apartment,Dublin 3,Gym;Pool,24.84,2
113.6,3,1,2021.68,Apartment,Dublin 4,Gym;Pool,17.8,2
114.3,1,2,2771.51,Apartment,Dublin 8,Parking;Garden,24.25,2
73.1,1,2,4403.0,Studio,Dublin 2,Gym;Pool,60.23,2
65.2,3,1,2080.59,Studio,Dublin 1,None,31.91,0
127.1,1,2,1609.24,Studio,Dublin 2,None,12.66,0
127.2,1,2,1342.1,Studio,Dublin 3,Gym;Parking,10.55,2
134.0,1,1,2051.01,Studio,Dublin 3,Gym;Pool,15.31,2
139.6,4,1,4076.2,Studio,Dublin 1,None,29.2,0
91.4,4,2,2780.83,Studio,Dublin 8,Gym;Parking,30.42,2
90.2,3,1,1755.42,Apartment,Dublin 6,Gym;Pool,19.46,2
125.8,1,1,1497.98,House,Dublin 4,Gym;Pool,11.91,2
108.0,4,2,2197.46,Studio,Dublin 4,None,20.35,0
114.2,3,1,4747.68,House,Dublin 3,Gym;Parking,41.57,2
125.5,1,2,2240.71,Studio,Dublin 2,Gym;Parking,17.85,2
136.8,2,2,4950.12,Studio,Dublin 2,None,36.19,0
70.6,1,2,2837.97,Apartment,Dublin 8,None,40.2,0
75.1,1,2,1552.49,House,Dublin 6,None,20.67,0
41.3,4,2,4542.79,Apartment,Dublin 2,Gym;Pool,109.99,2
99.4,3,1,2733.49,Apartment,Dublin 4,None,27.5,0
34.3,3,1,3780.62,House,Dublin 2,None,110.22,0
85.9,4,1,4931.59,Apartment,Dublin 6,Parking;Garden,57.41,2
95.1,1,1,1010.74,Studio,Dublin 4,None,10.63,0
64.4,2,2,1206.12,Studio,Dublin 2,None,18.73,0
100.9,1,2,3825.92,Studio,Dublin 4,Gym;Pool,37.92,2
33.7,1,1,1983.67,Studio,Dublin 3,Gym;Parking,58.86,2
34.5,2,2,1574.07,Studio,Dublin 3,Gym;Pool,45.63,2
128.7,4,1,965.32,Apartment,Dublin 8,Parking;Garden,7.5,2
73.2,3,1,891.76,Apartment,Dublin 3,None,12.18,0
45.2,4,1,4052.84,Studio,Dublin 2,None,89.66,0
92.7,4,2,1364.62,Studio,Dublin 6,None,14.72,0
122.4,1,2,2764.43,Apartment,Dublin 4,None,22.59,0
55.9,3,2,3344.77,House,Dublin 1,None,59.83,0
104.7,3,2,2599.08,Apartment,Dublin 3,None,24.82,0
40.2,4,1,913.85,Apartment,Dublin 3,Parking;Garden,22.73,2
36.2,2,2,4090.71,Apartment,Dublin 1,None,113.0,0
93.8,4,2,844.16,Apartment,Dublin 1,None,9.0,0
94.9,2,2,3999.94,Apartment,Dublin 2,None,42.15,0
106.5,3,1,4551.88,House,Dublin 4,Parking;Garden,42.74,2
117.1,4,1,2617.93,Studio,Dublin 3,None,22.36,0
147.1,1,2,3049.28,Studio,Dublin 6,Parking;Garden,20.73,2
92.0,4,2,2803.33,House,Dublin 2,Gym;Pool,30.47,2
68.8,3,2,2434.68,Studio,Dublin 2,None,35.39,0
125.4,1,2,4527.18,Studio,Dublin 6,Gym;Parking,36.1,2
62.5,1,1,4554.52,Studio,Dublin 6,Parking;Garden,72.87,2
82.7,2,2,2210.43,House,Dublin 8,Gym;Pool,26.73,2
39.4,1,2,3383.29,House,Dublin 6,Parking;Garden,85.87,2
33.0,1,2,4693.01,Studio,Dublin 1,Parking;Garden,142.21,2
145.5,4,1,4840.65,Studio,Dublin 3,Gym;Pool,33.27,2
130.3,3,1,2937.63,Studio,Dublin 8,None,22.55,0
113.5,2,2,2701.86,Apartment,Dublin 1,None,23.8,0
79.1,4,2,1970.52,Apartment,Dublin 8,Parking;Garden,24.91,2
50.8,1,2,4827.26,Apartment,Dublin 3,Gym;Pool,95.02,2
48.8,1,2,1399.82,House,Dublin 8,None,28.68,0
60.0,2,2,3235.28,Studio,Dublin 1,Parking;Garden,53.92,2
95.9,3,1,1986.71,House,Dublin 4,Gym;Parking,20.72,2
115.8,2,1,1971.83,House,Dublin 3,Gym;Pool,17.03,2
109.2,4,1,2500.87,House,Dublin 2,Gym;Parking,22.9,2
63.6,2,2,4994.93,Studio,Dublin 3,Gym;Parking,78.54,2
144.6,1,1,1030.86,Apartment,Dublin 3,Parking;Garden,7.13,2
118.5,4,1,3229.88,Studio,Dublin 3,Gym;Pool,27.26,2
96.5,1,1,1146.8,Studio,Dublin 4,None,11.88,0
103.4,3,2,1448.99,House,Dublin 1,None,14.01,0
80.4,1,2,2646.16,House,Dublin 2,Parking;Garden,32.91,2
59.7,1,1,2943.93,House,Dublin 1,None,49.31,0
72.7,2,2,1886.93,Apartment,Dublin 8,None,25.96,0
120.9,1,1,2129.12,Apartment,Dublin 8,Gym;Parking,17.61,2
31.7,4,1,1165.26,Apartment,Dublin 8,Gym;Parking,36.76,2
43.9,4,1,2073.52,Studio,Dublin 1,Gym;Pool,47.23,2
35.5,3,1,4859.55,House,Dublin 6,Gym;Parking,136.89,2
34.9,4,2,4767.77,Studio,Dublin 4,None,136.61,0
132.7,2,2,2206.49,Apartment,Dublin 6,Gym;Pool,16.63,2
114.4,3,2,3197.59,House,Dublin 8,Gym;Pool,27.95,2
86.9,4,2,4620.3,Apartment,Dublin 4,Parking;Garden,53.17,2
41.7,2,1,825.97,House,Dublin 1,Gym;Parking,19.81,2
89.0,4,2,4204.87,House,Dublin 8,Gym;Pool,47.25,2
86.8,4,1,4783.15,Studio,Dublin 1,None,55.11,0
50.8,1,2,1183.57,Studio,Dublin 4,Gym;Pool,23.3,2
82.1,4,2,1478.08,Apartment,Dublin 1,Gym;Pool,18.0,2
77.8,4,2,4835.13,Studio,Dublin 1,Parking;Garden,62.15,2
103.9,2,1,3057.67,Studio,Dublin 2,None,29.43,0
106.2,2,1,859.63,Studio,Dublin 6,None,8.09,0
35.4,1,1,1882.05,House,Dublin 6,Gym;Parking,53.17,2
75.0,4,1,2689.76,Studio,Dublin 6,None,35.86,0
105.1,1,2,3710.22,Apartment,Dublin 3,Gym;Pool,35.3,2
90.4,4,1,3879.27,House,Dublin 2,None,42.91,0
132.8,3,1,4980.77,House,Dublin 8,None,37.51,0
109.0,3,2,2007.55,Studio,Dublin 8,Gym;Pool,18.42,2
49.6,1,2,3060.52,House,Dublin 8,Parking;Garden,61.7,2
38.5,1,1,3039.96,Apartment,Dublin 6,Gym;Parking,78.96,2
107.1,1,2,2503.71,Apartment,Dublin 6,Gym;Parking,23.38,2
33.2,2,1,1510.48,House,Dublin 2,Parking;Garden,45.5,2
100.3,2,2,4905.32,Studio,Dublin 1,Gym;Pool,48.91,2
142.8,2,1,4383.93,Studio,Dublin 6,Gym;Parking,30.7,2
99.1,1,1,2893.0,House,Dublin 8,Parking;Garden,29.19,2
76.6,4,1,3333.63,Apartment,Dublin 1,Parking;Garden,43.52,2
107.2,3,1,1754.5,House,Dublin 6,Parking;Garden,16.37,2
85.0,1,1,3083.91,Studio,Dublin 4,Gym;Parking,36.28,2
95.5,2,2,3718.87,Studio,Dublin 3,Gym;Parking,38.94,2
143.0,2,1,2963.7,House,Dublin 6,Gym;Parking,20.73,2
76.3,1,1,4959.2,Apartment,Dublin 4,Gym;Parking,65.0,2
145.3,1,1,3367.63,House,Dublin 2,None,23.18,0
138.6,2,1,2358.09,Apartment,Dublin 4,Parking;Garden,17.01,2
53.5,4,1,4043.04,Apartment,Dublin 2,None,75.57,0
38.3,2,2,1515.94,House,Dublin 6,Parking;Garden,39.58,2
42.1,2,2,2414.97,House,Dublin 2,Gym;Parking,57.36,2
32.2,1,1,2257.23,Apartment,Dublin 4,Gym;Parking,70.1,2
41.3,4,2,2613.59,Apartment,Dublin 3,None,63.28,0
112.0,2,1,4083.48,Apartment,Dublin 1,Gym;Pool,36.46,2
38.5,2,2,2833.53,Apartment,Dublin 1,Gym;Parking,73.6,2
68.3,3,2,4134.86,Studio,Dublin 3,Gym;Pool,60.54,2
131.4,1,1,3221.25,House,Dublin 8,Parking;Garden,24.51,2
32.8,3,2,2236.69,Apartment,Dublin 1,None,68.19,0
127.7,3,2,4201.91,House,Dublin 6,Gym;Pool,32.9,2
63.8,2,1,1800.82,Apartment,Dublin 8,Gym;Pool,28.23,2
44.2,1,1,1742.41,House,Dublin 6,Gym;Parking,39.42,2
113.6,4,2,2918.91,House,Dublin 4,Gym;Pool,25.69,2
105.5,2,2,1895.57,Apartment,Dublin 4,Gym;Pool,17.97,2
135.3,4,2,838.17,Apartment,Dublin 8,Parking;Garden,6.19,2
